present,numbers,dayoff,trip,trip2,요일,year,month,year_month,lunch_bob,lunch_soup,lunch_main,dinner_bob,dinner_soup,dinner_main,중식계,석식계,total
1964,2689,73,267,385,3,2016,11,201611,밥,김치콩나물국,쇠고기장조림,김밥,계란국,해물볶음우동,795.0,513.0,1308.0
2161,2689,173,286,69,4,2016,11,201611,밥,아욱된장국,칠리탕수육,밥,닭곰탕,미트볼떡조림,652.0,426.0,1078.0
1909,2689,92,227,461,0,2016,11,201611,밥,어묵국,소고기버섯볶음,밥,콩나물국,매운돼지갈비찜,1260.0,539.0,1799.0
1932,2689,66,273,418,1,2016,11,201611,밥,김치국,닭데리야끼조림,굴소스해물볶음밥,미소장국,미니햄버거,914.0,418.0,1332.0
2379,2689,60,250,0,2,2016,11,201611,버섯영양밥,조랭이떡미역국,유산슬,밥,동태찌개,수제돈까스,888.0,463.0,1351.0
1881,2689,134,263,411,3,2016,11,201611,밥,설렁탕,해물김치전,생선초밥,우동,떡볶이,882.0,551.0,1433.0
2126,2689,219,287,57,4,2016,11,201611,밥,콩비지찌개,순살깐풍기,밥,육개장,탕수어,730.0,388.0,1118.0
1871,2689,94,202,522,0,2016,11,201611,밥,시래기된장국,누룽지탕수육,밥,황태국,등갈비김치찜,1235.0,616.0,1851.0
1954,2689,45,238,452,1,2016,11,201611,밥,대구매운탕,쇠고기숙주볶음,후난식볶음밥,팽이장국,찹쌀순대볶음,1046.0,580.0,1626.0
2386,2689,52,251,0,2,2016,11,201611,밥,순두부탕,파닭,밥,소고기미역국,쭈꾸미볶음,891.0,482.0,1373.0
2015,2689,61,262,351,3,2016,11,201611,밥,수제비국,짬뽕불고기,멸치주먹밥,잔치국수,또띠아피자,870.0,498.0,1368.0
2142,2689,200,279,68,4,2016,11,201611,카레덮밥,맑은국,통감자오븐구이,밥,된장찌개,장어강정,720.0,392.0,1112.0
1959,2689,114,219,397,0,2016,11,201611,밥,쇠고기느타리국,오징어볶음,밥,시금치된장국,닭강정,1246.0,623.0,1869.0
1999,2689,84,218,388,1,2016,11,201611,밥,근대국,제육볶음,참치주먹밥,짬뽕,야채튀김,900.0,587.0,1487.0
2414,2689,68,207,0,2,2016,11,201611,나물비빔밥,가쯔오장국,감자샐러드,None,None,None,1109.0,0.0,1109.0
1690,2705,84,243,688,3,2016,12,201612,밥,콩나물국,모둠장조림,김치볶음밥,미소장국,갈비만두,956.0,571.0,1527.0
2098,2705,183,272,152,4,2016,12,201612,밥,떡국,양념찜닭,밥,오징어국,미니함박조림,766.0,448.0,1214.0
1558,2705,101,207,839,0,2016,12,201612,밥,순두부찌개,훈제오리구이,밥,매운감자국,소고기숙주볶음,1110.0,560.0,1670.0
1615,2705,69,222,799,1,2016,12,201612,밥,홍합탕,삼겹살오븐구이,유부초밥,쌀국수,단호박조림,930.0,593.0,1523.0
2404,2705,69,232,0,2,2016,12,201612,짜장밥,유부장국,해물누룽지탕,밥,부대찌개,유린기,895.0,468.0,1363.0
1780,2705,76,262,587,3,2016,12,201612,밥,아욱국,양념돼지갈비찜,김밥,계란국,해물볶음우동,787.0,512.0,1299.0
2073,2705,196,284,152,4,2016,12,201612,밥,차돌박이된장찌개,삼치무조림,밥,쇠고기무국,주꾸미볶음,621.0,416.0,1037.0
1777,2705,102,193,633,0,2016,12,201612,밥,콩나물김치국,돈육굴소스볶음,밥,대구지리,유산슬,1069.0,544.0,1613.0
1903,2705,65,226,511,1,2016,12,201612,밥,냉이된장찌개,코다리강정,주먹밥,양송이스프,토마토스파게티,770.0,482.0,1252.0
2376,2705,82,247,0,2,2016,12,201612,소불고기덮밥,가쯔오장국,고구마튀김,밥,매생이굴국,간장찜닭,904.0,441.0,1345.0
2144,2705,98,234,229,3,2016,12,201612,밥,콩비지찌개,오리고추장볶음,오므라이스,팽이장국,해물떡볶이,850.0,499.0,1349.0
2239,2705,167,262,37,4,2016,12,201612,밥,쇠고기샤브국,갈치구이,밥,미역국,등갈비김치찜,699.0,518.0,1217.0
2187,2705,104,217,197,0,2016,12,201612,밥,배추된장국,짬뽕불고기,밥,육개장,탕수어,1215.0,482.0,1697.0
2252,2705,89,238,126,1,2016,12,201612,밥,콩나물국,꽁치김치말이,충무김밥,잔치국수,오징어무침,790.0,461.0,1251.0
2403,2705,72,230,0,2,2016,12,201612,밥,된장찌개,마늘간장치킨,밥,알탕,돈육장조림,929.0,494.0,1423.0
2313,2705,118,242,32,3,2016,12,201612,밥,꽃게탕,쇠고기버섯볶음,작은밥,바지락수제비,사천식탕수육,524.0,213.0,737.0
2112,2705,343,243,7,4,2016,12,201612,밥,얼갈이국,떡갈비조림,밥,돈육김치찌개,궁중떡볶음,560.0,398.0,958.0
2242,2705,206,194,63,0,2016,12,201612,밥,동태찌개,돈육간장불고기,밥,청국장찌개,가자미양념찜,1192.0,328.0,1520.0
2291,2705,127,236,51,1,2016,12,201612,밥,열무된장국,닭갈비,해물굴소스볶음밥,맑은국,돈육강정,823.0,314.0,1137.0
2314,2705,166,225,0,2,2016,12,201612,콩나물밥,가쯔오장국,미트볼케찹조림,None,None,None,767.0,0.0,767.0
2220,2705,242,201,42,3,2016,12,201612,밥,시래기국,소세지감자조림,참치주먹밥,김치우동,쇠고기퀘사디아,711.0,343.0,1054.0
2046,2705,529,127,3,4,2016,12,201612,밥,순두부찌개,수제돈까스,밥,봄동된장국,닭볶음탕,658.0,275.0,933.0
2227,2697,96,102,272,0,2017,1,201701,밥,사골떡국,쇠고기낙지볶음,밥,매운오징어국,목살간장조림,1273.0,559.0,1832.0
2219,2697,61,158,259,1,2017,1,201701,밥,홍합탕,매운동태찜,참치회덮밥,유부주머니국,수제고로케,1041.0,364.0,1405.0
2460,2697,67,170,0,2,2017,1,201701,곤드레밥,황태국,동그랑땡전,밥,감자찌개,닭데리야끼구이,949.0,427.0,1376.0
2095,2697,79,207,316,3,2017,1,201701,밥,육개장,굴비구이,마파두부덮밥,팽이장국,류산슬,1000.0,531.0,1531.0
2210,2697,189,224,74,4,2017,1,201701,밥,된장찌개,레몬탕수육,밥,들깨무채국,등갈비묵은지찜,830.0,523.0,1353.0
1965,2697,121,166,445,0,2017,1,201701,밥,콩나물국,동파육,밥,콩비지찌개,양파치킨,1322.0,620.0,1942.0
2016,2697,70,199,412,1,2017,1,201701,밥,쇠고기미역국,주꾸미떡볶음,김치참치주먹밥,가쯔오국,로제스파게티,1186.0,533.0,1719.0
2417,2697,57,223,0,2,2017,1,201701,비빔밥,팽이장국,생선까스,밥,해물된장찌개,제육볶음,1039.0,514.0,1553.0
2069,2697,85,238,305,3,2017,1,201701,밥,어묵국,매운닭찜,밥,뼈감자탕,삼치된장구이,976.0,416.0,1392.0
2197,2697,191,247,62,4,2017,1,201701,밥,짬뽕국,미니함박조림,밥,시래기국,소고기장조림,791.0,533.0,1324.0
1946,2697,123,196,432,0,2017,1,201701,밥,얼갈이된장국,꽃맛살햄볶음,밥,감자국,매운돼지갈비찜,1273.0,571.0,1844.0
2027,2697,75,215,380,1,2017,1,201701,밥,순두부찌개,쇠고기숙주볶음,후난식볶음밥,맑은국,닭강정,1035.0,469.0,1504.0
2398,2697,59,240,0,2,2017,1,201701,밥,아욱국,훈제오리구이,밥,쇠고기샤브국,갈치양념조림,863.0,394.0,1257.0
2034,2697,93,236,334,3,2017,1,201701,밥,수제비국,유자청돈육볶음,김밥,새우튀김우동,펜네베이컨샐러드,866.0,499.0,1365.0
2162,2697,207,267,61,4,2017,1,201701,밥,닭개장,가자미카레튀김,밥,부대찌개,해물청경채볶음,709.0,446.0,1155.0
1991,2697,108,202,396,0,2017,1,201701,밥,냉이콩나물국,닭볶음,밥,쇠고기매운국,버섯탕수,1152.0,509.0,1661.0
2143,2697,63,218,273,1,2017,1,201701,밥,알탕,돈육간장불고기,멸치주먹밥,잔치국수,쇠고기퀘사디아,974.0,396.0,1370.0
2415,2697,79,203,0,2,2017,1,201701,카레덮밥,맑은국,유린기,None,None,None,720.0,0.0,720.0
2183,2697,369,117,28,3,2017,1,201701,밥,배추된장국,소갈비찜,밥,시래기들깨탕,돈육강정,844.0,147.0,991.0
2184,2697,177,58,278,1,2017,1,201701,밥,미역국,양잡피잡채,김치볶음밥,꼬지어묵우동,콘샐러드,1240.0,680.0,1920.0
2392,2632,61,179,0,2,2017,2,201702,밥,시금치된장국,고추장불고기,밥,차돌박이찌개,장어강정,1260.0,566.0,1826.0
1943,2632,45,217,427,3,2017,2,201702,밥,굴김치두부국,스위트칠리미트볼,쇠고기덮밥,장국,야채튀김,1005.0,549.0,1554.0
2183,2632,104,253,92,4,2017,2,201702,밥,콩나물국,소고기낙지볶음,밥,소고기무국,고등어김치말이,854.0,582.0,1436.0
1771,2632,49,202,610,0,2017,2,201702,밥,냉이된장찌개,닭갈비,밥,사골우거지국,탕수어,1319.0,768.0,2087.0
1820,2632,40,207,565,1,2017,2,201702,밥,대구매운탕,유산슬,밥,순두부찌개,돈육굴소스볶음,1114.0,554.0,1668.0
2374,2632,52,206,0,2,2017,2,201702,콩나물밥,맑은국,닭오븐구이,밥,열무된장국,삼겹살구이,1068.0,548.0,1616.0
1963,2632,65,227,377,3,2017,2,201702,밥,배추국,수제돈까스,유부초밥,쌀국수,순대오징어볶음,953.0,583.0,1536.0
2140,2632,149,284,59,4,2017,2,201702,오곡밥,소고기무국,굴비구이,밥,청국장찌개,미니함박조림,797.0,505.0,1302.0
1870,2632,61,196,505,0,2017,2,201702,밥,쇠고기미역국,제육볶음,밥,부대찌개,고등어구이,1364.0,689.0,2053.0
1912,2632,53,223,444,1,2017,2,201702,밥,된장찌개,주꾸미볶음,짜장덮밥,맑은국,사천식탕수육,997.0,566.0,1563.0
2348,2632,51,233,0,2,2017,2,201702,밥,들깨시래기국,순살파닭,밥,오징어국,돈육장조림,1045.0,505.0,1550.0
1917,2632,56,240,419,3,2017,2,201702,밥,홍합탕,소불고기,오므라이스,가쯔오장국,치킨텐더,968.0,567.0,1535.0
2146,2632,144,269,73,4,2017,2,201702,밥,어묵국,등갈비김치찜,밥,콩비지찌개,계란말이,753.0,494.0,1247.0
1835,2632,104,199,494,0,2017,2,201702,밥,열무된장국,동파육,밥,얼갈이된장국,간장찜닭,1216.0,648.0,1864.0
1898,2632,63,226,445,1,2017,2,201702,밥,버섯들깨탕,낙지볶음,날치알김치볶음밥,미역장국,쇠고기퀘사디아,1004.0,559.0,1563.0
2305,2632,75,252,0,2,2017,2,201702,나물비빔밥,유부장국,파스타샐러드,None,None,None,1065.0,0.0,1065.0
1978,2632,75,272,307,3,2017,2,201702,밥,콩나물국,돼지갈비찜,참치주먹밥,김치우동,케이준샐러드,917.0,534.0,1451.0
2104,2632,174,291,63,4,2017,2,201702,밥,수제비국,깐풍기,밥,쇠고기샤브국,가자미양념찜,698.0,463.0,1161.0
1949,2632,134,181,368,0,2017,2,201702,밥,봄동된장국,훈제오리구이,밥,황태국,짬뽕불고기,1141.0,563.0,1704.0
2094,2632,156,203,179,1,2017,2,201702,밥,사골떡국,언양식불고기,김밥,꼬치어묵탕,쫄면야채무침,956.0,536.0,1492.0
1794,2627,190,215,428,3,2017,3,201703,밥,돈육김치찌개,고등어조림,후난식볶음밥,잔치국수,새우또띠아,1057.0,593.0,1650.0
2127,2627,174,256,70,4,2017,3,201703,카레덮밥,맑은국,미니채소떡갈비,밥,해물된장찌개,소고기모듬장조림,926.0,578.0,1504.0
1873,2627,63,201,490,0,2017,3,201703,밥,어묵국,순살닭갈비,밥,김치두부국,쇠불고기,1311.0,658.0,1969.0
1917,2627,41,214,455,1,2017,3,201703,밥,토란탕,돈육칠리강정,참치야채비빔밥,맑은국,수제고로케,994.0,545.0,1539.0
2348,2627,46,233,0,2,2017,3,201703,미소국,오징어볶음,햄감자채볶음,밥,차돌박이찌개,코다리강정,879.0,518.0,1397.0
1972,2627,55,254,346,3,2017,3,201703,밥,아욱국,마늘치킨,김밥볶음밥,팽이장국,볶음우동,954.0,519.0,1473.0
2128,2627,145,291,63,4,2017,3,201703,밥,얼큰순두부찌개,해물청경채볶음,밥,미역국,궁중떡찜,664.0,461.0,1125.0
1885,2627,82,211,449,0,2017,3,201703,밥,오징어국,버섯불고기,밥,육개장,갈치조림,1295.0,596.0,1891.0
1914,2627,46,230,437,1,2017,3,201703,밥,동태찌개,미트볼케찹조림,콩나물밥,가쯔오장국,주꾸미볶음,972.0,533.0,1505.0
2353,2627,40,234,0,2,2017,3,201703,밥,근대국,양념찜닭,밥,북어계란국,등갈비김치찜,961.0,486.0,1447.0
1964,2627,47,259,357,3,2017,3,201703,밥,옹심이만두국,돈육굴소스볶음,멸치주먹밥,김치말이국수,훈제오리냉채,951.0,504.0,1455.0
2140,2627,129,299,59,4,2017,3,201703,밥,고추장찌개,치킨커틀렛,밥,열무된장국,미니함박조림,625.0,429.0,1054.0
1944,2627,86,207,390,0,2017,3,201703,밥,아욱국,콩나물불고기,밥,매운버섯국,누룽지탕수육,1328.0,556.0,1884.0
1896,2627,55,222,454,1,2017,3,201703,밥,냉이된장찌개,쇠고기장조림,베이컨김치볶음밥,미소장국,로제파스타,940.0,647.0,1587.0
2339,2627,53,235,0,2,2017,3,201703,밥,돈육김치찌개,유린기,None,None,None,953.0,0.0,953.0
1999,2627,62,245,321,3,2017,3,201703,밥,콩가루배추국,돼지갈비찜,통새우김밥,짬뽕,고구마치즈구이,911.0,557.0,1468.0
2117,2627,181,279,50,4,2017,3,201703,밥,대구매운탕,올방개묵무침,밥,연두부탕,닭강정,644.0,518.0,1162.0
1920,2627,105,242,360,0,2017,3,201703,밥,알탕,소고기숙주볶음,밥,부대찌개,고등어구이,1114.0,501.0,1615.0
1967,2627,44,248,368,1,2017,3,201703,밥,소고기미역국,주꾸미볶음,해물볶음밥,맑은국,비빔메밀국수,970.0,504.0,1474.0
2348,2627,42,237,0,2,2017,3,201703,봄나물비빔밥,팽이장국,언양식불고기,밥,우거지탕,돈까스,966.0,474.0,1440.0
2059,2627,67,278,223,3,2017,3,201703,밥,북어콩나물국,사천식탕수육,충무김밥,유부우동,오징어무침,802.0,497.0,1299.0
2139,2627,147,296,45,4,2017,3,201703,밥,생선커틀렛,닭가슴살장조림,밥,봄동된장국,동태콩나물찜,639.0,420.0,1059.0
1882,2626,81,198,465,0,2017,4,201704,밥,꽃게탕,오이달래무침,밥,콩비지찌개,가자미카레튀김,1258.0,577.0,1835.0
1942,2626,54,212,418,1,2017,4,201704,밥,된장찌개,쇠불고기,참치주먹밥,쌀국수,오징어순대볶음,809.0,535.0,1344.0
2312,2626,63,251,0,2,2017,4,201704,짜장밥,맑은계란국,유산슬,밥,미역장국,유자청돈육볶음,1060.0,391.0,1451.0
1973,2626,65,271,317,3,2017,4,201704,밥,근대국,마늘치킨,김치볶음밥/계란,유부주머니국,쇠고기퀘사디아,897.0,436.0,1333.0
2117,2626,151,291,67,4,2017,4,201704,밥,육개장,미니채소떡갈비,밥,매운어묵국,순살닭갈비,602.0,431.0,1033.0
1898,2626,81,229,418,0,2017,4,201704,밥,얼갈이국,쇠고기낙지볶음,밥,무채국,치즈시즈닝치킨,1218.0,541.0,1759.0
1908,2626,44,234,440,1,2017,4,201704,밥,김치찌개,해물누룽지탕,밥,카레돈까스정식,미소장국,994.0,535.0,1529.0
2344,2626,41,241,0,2,2017,4,201704,밥,들깨미역국,삼겹살오븐구이,밥,순두부찌개,삼치구이,893.0,384.0,1277.0
1977,2626,61,270,318,3,2017,4,201704,밥,황태국,닭데리야끼조림,유부초밥,잔치국수,수제핫도그,784.0,521.0,1305.0
2151,2626,122,298,55,4,2017,4,201704,밥,쇠고기샤브국,오징어볶음,밥,청국장찌개,돈육장조림,541.0,402.0,943.0
1890,2626,82,220,434,0,2017,4,201704,밥,된장찌개,돈육굴소스볶음,밥,쇠고기무국,고등어조림,1237.0,479.0,1716.0
1920,2626,57,244,405,1,2017,4,201704,밥,들깨시래기국,쇠고기장조림,나가사끼짬뽕,야채볶음밥,또띠아칩,839.0,567.0,1406.0
2334,2626,36,256,0,2,2017,4,201704,곤드레밥,맑은국,탕수어,밥,닭개장,갈치구이,871.0,408.0,1279.0
2010,2626,44,288,284,3,2017,4,201704,밥,아욱국,등갈비김치찜,오므라이스,가쯔오장국,떡볶이,713.0,511.0,1224.0
2123,2626,137,307,59,4,2017,4,201704,밥,콩나물김치국,버섯불고기,밥,열무된장국,돈육강정,547.0,353.0,900.0
1917,2626,76,260,373,0,2017,4,201704,밥,부대찌개,언양식불고기,밥,오징어국,쇠고기숙주볶음,1109.0,531.0,1640.0
1933,2626,69,288,336,1,2017,4,201704,밥,차돌박이찌개,닭강정,멸치주먹밥,양송이스프,토마토스파게티,791.0,510.0,1301.0
2277,2626,45,304,0,2,2017,4,201704,비빔밥,맑은국,오징어튀김,None,None,None,835.0,0.0,835.0
2071,2626,61,311,183,3,2017,4,201704,밥,미역국,매콤함박스테이크,닭갈비볶음밥,어묵국,크림카레우동,788.0,442.0,1230.0
2111,2626,161,310,44,4,2017,4,201704,밥,꽃게찌개,탕수육,밥,얼갈이된장국,주꾸미떡볶음,575.0,362.0,937.0
1493,2637,933,123,88,1,2017,5,201705,밥,참치김치찌개,훈제오리구이/쌈무,밥,순두부찌개,돈육굴소스볶음,525.0,298.0,823.0
1327,2637,1224,41,45,3,2017,5,201705,밥,들깨미역국,닭갈비,야채볶음밥,유부주머니국,미니버거,383.0,262.0,645.0
1641,2637,715,130,151,0,2017,5,201705,밥,고추장찌개,쇠불고기,밥,육개장,꽁치오븐구이,792.0,308.0,1100.0
2346,2637,68,223,0,2,2017,5,201705,밥,된장찌개,제육볶음,밥,연두부탕,닭오븐구이,1235.0,500.0,1735.0
1845,2637,57,264,471,3,2017,5,201705,밥,콩가루배추국,낙지볶음,볶음밥/짜장소스,맑은국,사천식탕수육,829.0,501.0,1330.0
2139,2637,113,289,96,4,2017,5,201705,밥,옹심이만두떡국,유린기,밥,청국장찌개,돼지갈비찜,817.0,507.0,1324.0
1834,2637,63,224,516,0,2017,5,201705,밥,콩비지찌개,돈육꽈리고추볶음,밥,닭개장,가자미카레튀김,1203.0,505.0,1708.0
1844,2637,41,266,486,1,2017,5,201705,밥,쇠고기샤브국,오징어볶음,잔치국수,감자만두,멕시칸샐러드,890.0,533.0,1423.0
2323,2637,46,268,0,2,2017,5,201705,밥,열무된장국,쇠고기장조림,밥,차돌박이찌개,갈치양념조림,864.0,484.0,1348.0
1947,2637,60,287,343,3,2017,5,201705,밥,부대찌개,굴비구이,밥,옛날돈가스,옥수수스프,796.0,459.0,1255.0
2105,2637,146,305,81,4,2017,5,201705,밥,새우살미역국,순살양념치킨,밥,배추된장국,쇠고기숙주볶음,662.0,414.0,1076.0
1830,2637,63,240,504,0,2017,5,201705,밥,시금치된장국,제육볶음,밥,연두부찌개,코다리조림,1207.0,585.0,1792.0
1904,2637,47,257,429,1,2017,5,201705,밥,소고기국,간장찜닭,볶음밥,짬뽕,탕수육,889.0,545.0,1434.0
2311,2637,49,277,0,2,2017,5,201705,콩나물밥,김치국,고등어구이,밥,꽃게탕,모둠장조림,852.0,387.0,1239.0
1970,2637,57,290,320,3,2017,5,201705,밥,들깨시래기국,오리불고기,마파두부덮밥,유부장국,수제고로케,838.0,456.0,1294.0
2111,2637,164,302,60,4,2017,5,201705,밥,콩나물국,주꾸미떡볶음,밥,된장찌개,치즈닭갈비,597.0,462.0,1059.0
1915,2637,88,240,394,0,2017,5,201705,밥,황태국,소불고기,밥,우거지해장국,임연수엿장조림,1193.0,555.0,1748.0
2031,2637,57,256,293,1,2017,5,201705,밥,얼갈이된장국,동파삼겹수육,김밥,맑은국,쫄면야채무침,821.0,579.0,1400.0
2329,2637,43,265,0,2,2017,5,201705,열무보리비빔밥,가쯔오장국,탕수만두,None,None,None,910.0,0.0,910.0
2000,2648,66,265,317,3,2017,6,201706,밥,오이냉국,등갈비김치찜,주먹밥,단호박스프,로제스파게티,914.0,505.0,1419.0
2113,2648,165,293,77,4,2017,6,201706,밥,돈육김치찌개,삼치된장구이,밥,새알만두국,두부새싹구이,699.0,480.0,1179.0
1691,2648,633,150,174,0,2017,6,201706,밥,근대국,돈육굴소스볶음,밥,감자고추장찌개,탕수어,760.0,306.0,1066.0
2345,2648,75,228,0,2,2017,6,201706,밥,콩나물국,훈제오리구이,밥,열무된장국,돼지갈비찜,1127.0,549.0,1676.0
1888,2648,63,274,423,3,2017,6,201706,밥,얼갈이된장국,미니채소떡갈비,김밥볶음밥,냉모밀국수,야채튀김,857.0,443.0,1300.0
2157,2648,130,294,67,4,2017,6,201706,밥,호박잎된장찌개,깐풍기,밥,쇠고기미역국,가자미양념찜,715.0,460.0,1175.0
1823,2648,87,209,529,0,2017,6,201706,밥,연두부탕,쇠고기숙주볶음,밥,된장찌개,돈육강정,1140.0,552.0,1692.0
1916,2648,47,234,451,1,2017,6,201706,밥,도토리묵냉국,쭈꾸미볶음,참치회덮밥,미소장국,고구마치즈구이,916.0,540.0,1456.0
2340,2648,55,253,0,2,2017,6,201706,가쯔오장국,치킨핑거,파스타샐러드,밥,알탕,미트볼케찹조림,907.0,408.0,1315.0
1998,2648,64,268,318,3,2017,6,201706,밥,쇠고기샤브국,갈치구이,볶음밥,열무김치국수,부추만두,763.0,443.0,1206.0
2117,2648,164,305,62,4,2017,6,201706,밥,아욱된장국,삼겹살구이,밥,참치김치찌개,쇠고기장조림,644.0,383.0,1027.0
1865,2648,102,226,455,0,2017,6,201706,밥,들깨시래기국,유자청제육볶음,밥,감자국,닭데리야끼조림,1126.0,489.0,1615.0
1900,2648,66,253,429,1,2017,6,201706,밥,오이지냉국,고등어김치말이,충무김밥,미역장국,오징어무침,888.0,508.0,1396.0
2319,2648,60,269,0,2,2017,6,201706,카레라이스,유부주머니국,언양식불고기,밥,해물된장찌개,황태양념구이,982.0,445.0,1427.0
1989,2648,69,273,317,3,2017,6,201706,밥,쇠고기미역국,해물누룽지탕,소고기주먹밥,쌀국수,또띠아피자,875.0,451.0,1326.0
2139,2648,162,290,57,4,2017,6,201706,밥,나가사끼짬뽕국,닭갈비,밥,콩비지찌개,탕수어,609.0,441.0,1050.0
1925,2648,112,237,374,0,2017,6,201706,밥,차돌박이찌개,훈제오리고추장볶음,밥,연두부찌개,탕수육,1147.0,539.0,1686.0
2024,2648,59,256,309,1,2017,6,201706,밥,북어콩나물국,오징어볶음,콩국수,작은밥,탄두리치킨,973.0,575.0,1548.0
2331,2648,58,259,0,2,2017,6,201706,콩나물밥,얼갈이된장국,삼치구이,None,None,None,745.0,0.0,745.0
2107,2648,66,266,209,3,2017,6,201706,밥,우무묵냉국,갈릭돈까스,빠에야,올챙이만두국,웨지감자,814.0,451.0,1265.0
2130,2648,188,296,34,4,2017,6,201706,밥,꼬지어묵탕,매운닭찜,밥,청국장찌개,장어강정,695.0,370.0,1065.0
2145,2839,66,214,414,0,2017,7,201707,밥,콩나물국,짬뽕불고기,밥,육개장,고등어카레구이,1231.0,501.0,1732.0
2174,2839,50,247,368,1,2017,7,201707,밥,배추된장국,낙지볶음,후난식볶음밥,가쯔오장국,닭강정,962.0,432.0,1394.0
2533,2839,46,260,0,2,2017,7,201707,짜장덮밥,계란국,유산슬,밥,대구찌개,돈육굴소스볶음,912.0,340.0,1252.0
2158,2839,72,268,341,3,2017,7,201707,밥,아욱된장국,등갈비김치찜,김밥,잔치국수,수제고로케,821.0,501.0,1322.0
2332,2839,146,288,73,4,2017,7,201707,밥,오이냉국,유린기,밥,순두부찌개,탕평채,613.0,472.0,1085.0
2120,2839,98,215,406,0,2017,7,201707,밥,콩나물국,버섯불고기,밥,감자국,사천식탕수육,1084.0,527.0,1611.0
2165,2839,62,232,380,1,2017,7,201707,밥,어묵국,주꾸미떡볶음,오므라이스,미소장국,새우또띠아,866.0,444.0,1310.0
2507,2839,69,263,0,2,2017,7,201707,초복특식,초복특식,초복특식,밥,해물된장찌개,모둠장조림,918.0,414.0,1332.0
2172,2839,79,277,311,3,2017,7,201707,밥,근대국,돼지갈비찜,유부초밥,김치말이국수,풋고추튀김,765.0,461.0,1226.0
2287,2839,209,286,57,4,2017,7,201707,밥,부대찌개,갈치조림,밥,고추장찌개,미니함박조림,613.0,485.0,1098.0
2071,2839,132,212,424,0,2017,7,201707,밥,무채국,돈육고추장볶음,밥,꽃게탕,소고기장조림,1168.0,500.0,1668.0
2083,2839,98,239,419,1,2017,7,201707,밥,열무된장국,간장찜닭,목살필라프,단호박스프,토마토스파게티,916.0,513.0,1429.0
2501,2839,79,259,0,2,2017,7,201707,김치제육덮밥,맑은국,양장피잡채,밥,호박잎된장찌개,언양식불고기,830.0,457.0,1287.0
2201,2839,90,278,270,3,2017,7,201707,밥,소고기매운무국,오징어굴소스볶음,카레라이스,유부장국,해물볶음우동,750.0,429.0,1179.0
2286,2839,206,301,46,4,2017,7,201707,밥,닭곰탕,미트볼케찹조림,밥,육개장,꽁치구이,648.0,410.0,1058.0
1990,2839,237,211,401,0,2017,7,201707,밥,어묵탕,콩나물불고기,밥,콩가루배추국,고등어조림,1119.0,486.0,1605.0
2110,2839,214,243,272,1,2017,7,201707,밥,된장찌개,가자미카레튀김,빠에야,냉모밀국수,비빔야채만두,827.0,514.0,1341.0
2339,2839,254,246,0,2,2017,7,201707,나물비빔밥,미소장국,파스타샐러드,None,None,None,797.0,0.0,797.0
2044,2839,334,240,221,3,2017,7,201707,밥,콩나물냉국,순살파닭,마파두부덮밥,미역장국,탕수육,804.0,486.0,1290.0
2110,2839,419,264,46,4,2017,7,201707,밥,쇠고기샤브국,주꾸미떡볶음,밥,닭개장,감자채볶음,501.0,459.0,960.0
1967,2839,524,156,192,0,2017,7,201707,밥,연두부탕,쇠고기숙주볶음,밥,아욱국,돈육씨앗강정,945.0,455.0,1400.0
1678,2645,466,181,320,1,2017,8,201708,밥,부대찌개,해물누룽지탕,김밥볶음밥,잔치국수,훈제오리냉채,745.0,509.0,1254.0
2003,2645,454,188,0,2,2017,8,201708,밥,꽃게탕,미니채소떡갈비,밥,느타리버섯국,탕수어,799.0,337.0,1136.0
1686,2645,451,207,301,3,2017,8,201708,밥,오이미역냉국,닭오븐구이,콩나물밥,가쯔오장국,쇠고기장조림,776.0,401.0,1177.0
1808,2645,544,238,55,4,2017,8,201708,밥,콩나물국,제육볶음,밥,차돌박이찌개,치킨텐더,668.0,354.0,1022.0
1698,2645,428,168,351,0,2017,8,201708,밥,어묵국,쇠고기낙지볶음,밥,근대국,등갈비김치찜,1078.0,497.0,1575.0
1674,2645,414,207,350,1,2017,8,201708,밥,미역국,닭갈비,해물굴소스볶음밥,가쯔오장국,비빔메밀국수,842.0,445.0,1287.0
2007,2645,428,210,0,2,2017,8,201708,밥,도토리묵냉국,수제돈까스,밥,뼈해장국,고등어조림,946.0,372.0,1318.0
1687,2645,438,228,292,3,2017,8,201708,밥,돈육김치찌개,갈치구이,멸치주먹밥,물냉면,케이준샐러드,777.0,438.0,1215.0
1773,2645,566,240,66,4,2017,8,201708,밥,고추장찌개,돈육보쌈,밥,오징어국,깐풍기,710.0,393.0,1103.0
1537,2645,863,131,114,0,2017,8,201708,밥,된장찌개,짬뽕불고기,밥,콩가루배추국,양파치킨,692.0,275.0,967.0
2062,2645,403,180,0,2,2017,8,201708,밥,쇠고기무국,모듬묵양념장,밥,콩나물국,돼지갈비찜,973.0,433.0,1406.0
1687,2645,357,221,380,3,2017,8,201708,밥,들깨시래기국,매운닭찜,김치볶음밥,어묵우동,미니햄버거,823.0,507.0,1330.0
1916,2645,396,272,61,4,2017,8,201708,짜장밥,맑은국,부추만두,밥,해물순두부찌개,유자청제육볶음,731.0,484.0,1215.0
1784,2645,74,169,618,0,2017,8,201708,밥,조랭이떡미역국,소고기불고기,밥,참치김치찌개,안동찜닭,1232.0,673.0,1905.0
